elem,xc_m,yc_m,mx_Nm_per_m,my_Nm_per_m,mxy_Nm_per_m,qsoil_mean_Pa,w_mean_m
78,8.5,7.5,-18344.826710099627,-48774.6546154906,52659.54366876032,102361.96145465515,0.005118098072732757
79,9.5,7.5,-5636.5131177124385,-40961.73137975195,39635.084908475874,86465.6759566275,0.0043232837978313746
80,0.5,8.5,-9119.142838230957,-29950.40412606916,-39784.078011404294,78716.19352152117,0.003935809676076059
81,1.5,8.5,-25695.167437430737,-25695.167437428056,-51020.083035888,91182.36726617209,0.004559118363308605
82,2.5,8.5,-48774.65461549454,-18344.826710103647,-52659.543668762,102361.96145466423,0.0051180980727332116
83,3.5,8.5,-67565.4494954288,-6843.93804978239,-40543.1867802118,110835.08742375633,0.005541754371187816
84,4.5,8.5,-77322.90868010878,1542.9674977394861,-15196.782291569634,115403.66427340006,0.0057701832136700035
85,5.5,8.5,-77322.90868010442,1542.9674977414434,15196.78229156236,115403.66427339829,0.005770183213669915
86,6.5,8.5,-67565.44949542398,-6843.938049778901,40543.18678020644,110835.08742375113,0.005541754371187556
87,7.5,8.5,-48774.654615486674,-18344.82671010036,52659.54366875965,102361.96145465587,0.0051180980727327935
88,8.5,8.5,-25695.16743742121,-25695.16743742368,51020.083035884214,91182.36726616096,0.004559118363308049
89,9.5,8.5,-9119.142838227306,-29950.404126066987,39784.078011401565,78716.1935215078,0.003935809676075389
90,0.5,9.5,-11973.77342918306,-11973.773429183559,-28875.831034633262,69295.51143727962,0.0034647755718639813
91,1.5,9.5,-29950.404126070396,-9119.142838229924,-39784.07801140306,78716.19352152053,0.003935809676076027
92,2.5,9.5,-40961.731379753655,-5636.513117712346,-39635.08490847529,86465.6759566381,0.004323283797831905
93,3.5,9.5,-46173.80765044539,-1933.9518904465376,-29485.479478277935,91887.39826668032,0.004594369913334017
94,4.5,9.5,-48027.77405831286,775.4591739260741,-10899.067800200337,94657.38966850206,0.004732869483425103
95,5.5,9.5,-48027.77405830944,775.4591739272273,10899.067800195518,94657.38966850005,0.004732869483425002
96,6.5,9.5,-46173.80765043781,-1933.9518904451807,29485.479478273115,91887.39826667447,0.004594369913333723
97,7.5,9.5,-40961.731379744226,-5636.513117710423,39635.08490847356,86465.67595662884,0.004323283797831442
98,8.5,9.5,-29950.404126064273,-9119.142838227035,39784.07801140072,78716.19352150836,0.003935809676075418
99,9.5,9.5,-11973.77342918025,-11973.773429181876,28875.83103462838,69295.5114372649,0.0034647755718632445
