elem,xc_m,yc_m,mx_Nm_per_m,my_Nm_per_m,mxy_Nm_per_m,qsoil_mean_Pa,w_mean_m
61,1.5,6.5,-9581.51326969793,-94591.62929359468,-56760.46149229387,155169.12239326112,0.007758456119663056
62,2.5,6.5,-58700.27809256453,-140025.5864074509,-81902.70963368044,182035.17240126824,0.009101758620063412
63,3.5,6.5,-184088.9133592573,-184088.91335925952,-105778.05078703137,206525.99350190218,0.010326299675095107
64,4.5,6.5,-302433.3252067374,-153452.93491321892,-66944.81512087415,221925.9030786405,0.011096295153932026
65,5.5,6.5,-302433.3252067379,-153452.93491321895,66944.81512086363,221925.90307863886,0.011096295153931943
66,6.5,6.5,-184088.9133592596,-184088.91335925896,105778.05078702318,206525.99350189706,0.010326299675094854
67,7.5,6.5,-58700.278092559674,-140025.58640745198,81902.70963367628,182035.17240125965,0.009101758620062982
68,8.5,6.5,-9581.513269693232,-94591.62929360046,56760.46149229484,155169.12239324927,0.007758456119662463
69,9.5,6.5,-2707.5326466269016,-64643.330710621085,41279.67126958729,128642.35757334079,0.00643211787866704
70,0.5,7.5,-7891.118364800128,-57346.42393164854,-55489.11887186496,121051.9463392951,0.006052597316964755
71,1.5,7.5,-25682.75739415003,-68284.51646169012,-73723.36113626712,143306.74603653088,0.007165337301826544
72,2.5,7.5,-75898.12716798704,-75898.12716798596,-88090.71774725463,164597.7193157674,0.008229885965788369
73,3.5,7.5,-140025.58640745305,-58700.27809256279,-81902.70963368345,182035.17240126705,0.009101758620063351
74,4.5,7.5,-178361.6315167357,-35938.924700549476,-30681.498655092582,191900.9296164519,0.009595046480822595
75,5.5,7.5,-178361.63151673294,-35938.92470054961,30681.498655082283,191900.92961644987,0.009595046480822492
76,6.5,7.5,-140025.58640745163,-58700.2780925638,81902.70963367658,182035.17240126085,0.009101758620063042
77,7.5,7.5,-75898.12716797709,-75898.12716798151,88090.71774725003,164597.71931575725,0.008229885965787862
78,8.5,7.5,-25682.757394139586,-68284.51646168678,73723.36113626443,143306.74603651726,0.007165337301825863
79,9.5,7.5,-7891.118364797465,-57346.42393165275,55489.11887186614,121051.94633927858,0.006052597316963931
80,0.5,8.5,-12766.799973522167,-41930.56577649646,-55697.70921596633,110202.67093012946,0.005510133546506473
81,1.5,8.5,-35973.23441240342,-35973.23441239969,-71428.11625024276,127655.31417264076,0.006382765708632039
82,2.5,8.5,-68284.51646169268,-25682.75739414514,-73723.36113626718,143306.7460365298,0.00716533730182649
83,3.5,8.5,-94591.62929359986,-9581.513269695137,-56760.46149229637,155169.12239325876,0.007758456119662938
84,4.5,8.5,-108252.07215215231,2160.1544968353082,-21275.495208197313,161565.12998276006,0.008078256499138002
85,5.5,8.5,-108252.07215214612,2160.154496838426,21275.495208187614,161565.12998275756,0.00807825649913788
86,6.5,8.5,-94591.6292935931,-9581.513269689844,56760.46149228904,155169.12239325157,0.007758456119662577
87,7.5,8.5,-68284.51646168146,-25682.757394139968,73723.36113626321,143306.74603651825,0.007165337301825912
88,8.5,8.5,-35973.23441238984,-35973.23441239274,71428.11625023762,127655.31417262543,0.006382765708631271
89,9.5,8.5,-12766.799973518187,-41930.56577649346,55697.709215962255,110202.67093011102,0.005510133546505551
90,0.5,9.5,-16763.282800855894,-16763.282800855683,-40426.163448486965,97013.71601219133,0.004850685800609566
91,1.5,9.5,-41930.565776499134,-12766.799973521418,-55697.70921596463,110202.67093012863,0.005510133546506431
92,2.5,9.5,-57346.42393165507,-7891.1183647971675,-55489.118871865394,121051.94633929327,0.006052597316964662
93,3.5,9.5,-64643.3307106231,-2707.532646625028,-41279.6712695891,128642.35757335238,0.006432117878667619
94,4.5,9.5,-67238.88368163793,1085.6428434968784,-15258.694920280488,132520.34553590283,0.006626017276795142
95,5.5,9.5,-67238.88368163312,1085.6428434981663,15258.694920273772,132520.34553590007,0.006626017276795003
96,6.5,9.5,-64643.33071061315,-2707.5326466236493,41279.6712695824,128642.35757334428,0.006432117878667215
97,7.5,9.5,-57346.4239316421,-7891.118364795009,55489.11887186315,121051.94633928046,0.0060525973169640234
98,8.5,9.5,-41930.56577648993,-12766.799973517824,55697.70921596103,110202.67093011182,0.005510133546505592
99,9.5,9.5,-16763.28280085242,-16763.282800854482,40426.163448479776,97013.716012171,0.00485068580060855
