node,x_m,y_m,w_m,thx_rad,thy_rad,qsoil_Pa,area_m2,spring_active,column_load_N
64,9.0,5.0,0.0024750341774451424,-0.0008073657913911871,-2.7267578764181493e-17,99001.36709780569,1.0,1,0.0
65,10.0,5.0,0.0016882645445857657,-0.0007742667837711099,-2.802914496816702e-17,67530.58178343062,0.5,1,0.0
66,0.0,6.0,0.0016703098040076992,0.0007379591169981374,-4.91330797088019e-05,66812.39216030797,0.5,1,0.0
67,1.0,6.0,0.0024190810834901788,0.000765503714614319,-0.00011028239653030398,96763.24333960716,1.0,1,0.0
68,2.0,6.0,0.00321691765108127,0.000824800620368407,-0.0002071323860886956,128676.7060432508,1.0,1,0.0
69,3.0,6.0,0.0040768629790581675,0.0008572015672375837,-0.00035660390136772806,163074.5191623267,1.0,1,0.0
70,4.0,6.0,0.004890709471826758,0.0006187528077776261,-0.0006187528077776709,195628.37887307032,1.0,1,0.0
71,5.0,6.0,0.005229973305003439,-2.0187450438195767e-17,-0.0009413122641906664,209198.93220013755,1.0,1,0.0
72,6.0,6.0,0.004890709471826715,-0.0006187528077776718,-0.0006187528077776829,195628.3788730686,1.0,1,0.0
73,7.0,6.0,0.0040768629790580765,-0.0008572015672376318,-0.0003566039013677489,163074.51916232306,1.0,1,0.0
74,8.0,6.0,0.003216917651081132,-0.000824800620368446,-0.0002071323860887208,128676.70604324527,1.0,1,0.0
75,9.0,6.0,0.002419081083490006,-0.0007655037146143483,-0.00011028239653032694,96763.24333960025,1.0,1,0.0
76,10.0,6.0,0.0016703098040074993,-0.0007379591169981647,-4.913307970882471e-05,66812.39216029998,0.5,1,0.0
77,0.0,7.0,0.0016086581991844513,0.0006379742083445526,-0.00010895544453862344,64346.32796737805,0.5,1,0.0
78,1.0,7.0,0.00225392888019719,0.0006544343847615509,-0.000213573801279426,90157.1552078876,1.0,1,0.0
79,2.0,7.0,0.0029223436010818145,0.000669857707723649,-0.0003763238152560403,116893.74404327259,1.0,1,0.0
80,3.0,7.0,0.00357895252853157,0.0005979781149402457,-0.0005979781149402894,143158.1011412628,1.0,1,0.0
81,4.0,7.0,0.004076862979058125,0.00035660390136768697,-0.0008572015672376246,163074.519162325,1.0,1,0.0
82,5.0,7.0,0.004254357816575842,-2.7109662987081005e-17,-0.0009433157513179846,170174.3126630337,1.0,1,0.0
83,6.0,7.0,0.004076862979058071,-0.0003566039013677427,-0.0008572015672376324,163074.51916232286,1.0,1,0.0
84,7.0,7.0,0.0035789525285314623,-0.000597978114940295,-0.0005979781149402976,143158.1011412585,1.0,1,0.0
