node,x_m,y_m,w_m,thx_rad,thy_rad,qsoil_Pa,area_m2,spring_active,column_load_N
29,7.0,2.0,0.005817894660672847,-0.0005220565559138708,0.0008786866195519191,116357.89321345693,1.0,1,0.0
30,8.0,2.0,0.005212824997654598,-0.0006649328623050262,0.0006649328623050128,104256.49995309196,1.0,1,0.0
31,9.0,2.0,0.004513900384449029,-0.0007140109585055713,0.0004686702577265333,90278.0076889806,1.0,1,0.0
32,10.0,2.0,0.0037977288802429907,-0.000714367888199791,0.0003341556138033402,75954.57760485982,0.5,1,0.0
33,0.0,3.0,0.004053733678479446,0.0008654559694296904,0.00022290687051582515,81074.67356958891,0.5,1,0.0
34,1.0,3.0,0.004927772248155355,0.0008811478980733345,0.00034091242847690914,98555.4449631071,1.0,1,0.0
35,2.0,3.0,0.005817894660673055,0.0008786866195518521,0.0005220565559138954,116357.8932134611,1.0,1,0.0
36,3.0,3.0,0.00666534558325119,0.0007613407756527862,0.0007613407756528708,133306.9116650238,1.0,1,0.0
37,4.0,3.0,0.007293875406078398,0.0004468512518996106,0.0010344329482536243,145877.50812156795,1.0,1,0.0
38,5.0,3.0,0.007517929026332176,-3.570176767530851e-17,0.0011258069236844144,150358.58052664352,1.0,1,0.0
39,6.0,3.0,0.007293875406078329,-0.0004468512518996803,0.0010344329482536144,145877.50812156659,1.0,1,0.0
40,7.0,3.0,0.006665345583251051,-0.0007613407756528638,0.0007613407756528484,133306.91166502103,1.0,1,0.0
41,8.0,3.0,0.005817894660672835,-0.000878686619551933,0.0005220565559138531,116357.8932134567,1.0,1,0.0
42,9.0,3.0,0.004927772248155054,-0.0008811478980734139,0.00034091242847685677,98555.44496310108,1.0,1,0.0
43,10.0,3.0,0.004053733678479066,-0.0008654559694297652,0.00022290687051576056,81074.67356958131,0.5,1,0.0
44,0.0,4.0,0.0042025321295281765,0.0009780486747332782,0.00011005912999512238,84050.64259056353,0.5,1,0.0
45,1.0,4.0,0.005193441597173278,0.001006161603927474,0.00017903806536349607,103868.83194346556,1.0,1,0.0
46,2.0,4.0,0.006227908978749623,0.0010486377935447725,0.0002867509477144809,124558.17957499246,1.0,1,0.0
47,3.0,4.0,0.007293875406078472,0.0010344329482535428,0.00044685125189967333,145877.50812156944,1.0,1,0.0
48,4.0,4.0,0.008250616962006324,0.0007177604833464179,0.0007177604833464831,165012.3392401265,1.0,1,0.0
49,5.0,4.0,0.008641279045388745,-3.8424446168130694e-17,0.0010440525177120952,172825.58090777489,1.0,1,0.0
50,6.0,4.0,0.008250616962006244,-0.0007177604833464999,0.0007177604833464799,165012.3392401249,1.0,1,0.0
51,7.0,4.0,0.007293875406078311,-0.001034432948253634,0.00044685125189965425,145877.5081215662,1.0,1,0.0
52,8.0,4.0,0.0062279089787493636,-0.0010486377935448722,0.0002867509477144402,124558.17957498727,1.0,1,0.0
53,9.0,4.0,0.005193441597172919,-0.001006161603927572,0.00017903806536343864,103868.83194345838,1.0,1,0.0
54,10.0,4.0,0.004202532129527731,-0.0009780486747333604,0.00011005912999505808,84050.64259055462,0.5,1,0.0
55,0.0,5.0,0.0042508270337179,0.0010190023824479591,2.2089008630885256e-17,85016.54067435801,0.5,1,0.0
56,1.0,5.0,0.005284677173281713,0.0010531755371672826,2.207855220063113e-17,105693.54346563427,1.0,1,0.0
57,2.0,5.0,0.006374705105475888,0.001112744642952539,2.1844782148590973e-17,127494.10210951776,1.0,1,0.0
58,3.0,5.0,0.007517929026332306,0.0011258069236843341,1.9702395420164323e-17,150358.5805266461,1.0,1,0.0
59,4.0,5.0,0.008641279045388804,0.0010440525177120303,1.0098338440892116e-17,172825.58090777608,1.0,1,0.0
60,5.0,5.0,0.009476340074280413,-4.5605263159461486e-17,8.462822299790532e-18,189526.80148560827,1.0,1,5000000.0
61,6.0,5.0,0.00864127904538872,-0.0010440525177121238,-1.7664154730496945e-18,172825.58090777442,1.0,1,0.0
62,7.0,5.0,0.0075179290263321236,-0.0011258069236844432,-1.7136219725557845e-17,150358.58052664247,1.0,1,0.0
63,8.0,5.0,0.006374705105475588,-0.0011127446429526529,-1.474113543442645e-17,127494.10210951176,1.0,1,0.0
64,9.0,5.0,0.005284677173281302,-0.0010531755371673904,-2.5874351996954557e-17,105693.54346562605,1.0,1,0.0
65,10.0,5.0,0.004250827033717388,-0.001019002382448059,-3.70149603506956e-17,85016.54067434775,0.5,1,0.0
66,0.0,6.0,0.004202532129528222,0.0009780486747332773,-0.0001100591299950751,84050.64259056443,0.5,1,0.0
67,1.0,6.0,0.005193441597173324,0.001006161603927477,-0.0001790380653634454,103868.83194346647,1.0,1,0.0
68,2.0,6.0,0.006227908978749669,0.0010486377935447692,-0.00028675094771442924,124558.17957499338,1.0,1,0.0
69,3.0,6.0,0.007293875406078511,0.0010344329482535285,-0.00044685125189962514,145877.50812157022,1.0,1,0.0
70,4.0,6.0,0.008250616962006348,0.0007177604833464102,-0.0007177604833464519,165012.33924012698,1.0,1,0.0
71,5.0,6.0,0.008641279045388766,-5.2968552615385436e-17,-0.0010440525177120728,172825.58090777532,1.0,1,0.0
72,6.0,6.0,0.00825061696200624,-0.0007177604833465211,-0.000717760483346478,165012.33924012483,1.0,1,0.0
73,7.0,6.0,0.0072938754060782865,-0.0010344329482536488,-0.0004468512518996734,145877.50812156574,1.0,1,0.0
74,8.0,6.0,0.006227908978749326,-0.0010486377935448878,-0.0002867509477144831,124558.17957498653,1.0,1,0.0
75,9.0,6.0,0.005193441597172866,-0.001006161603927584,-0.00017903806536349388,103868.83194345732,1.0,1,0.0
76,10.0,6.0,0.004202532129527657,-0.0009780486747333855,-0.00011005912999512775,84050.64259055314,0.5,1,0.0
77,0.0,7.0,0.004053733678479541,0.0008654559694296996,-0.00022290687051577086,81074.67356959083,0.5,1,0.0
78,1.0,7.0,0.004927772248155458,0.0008811478980733386,-0.00034091242847685157,98555.44496310917,1.0,1,0.0
79,2.0,7.0,0.00581789466067316,0.0008786866195518508,-0.0005220565559138293,116357.8932134632,1.0,1,0.0
80,3.0,7.0,0.006665345583251287,0.0007613407756527725,-0.0007613407756528157,133306.91166502575,1.0,1,0.0
81,4.0,7.0,0.007293875406078467,0.00044685125189957895,-0.001034432948253582,145877.50812156935,1.0,1,0.0
82,5.0,7.0,0.0075179290263322155,-6.972713053181139e-17,-0.001125806923684392,150358.5805266443,1.0,1,0.0
83,6.0,7.0,0.007293875406078335,-0.00044685125189971805,-0.0010344329482536087,145877.5081215667,1.0,1,0.0
84,7.0,7.0,0.006665345583251011,-0.0007613407756529115,-0.0007613407756528598,133306.91166502022,1.0,1,0.0
85,8.0,7.0,0.005817894660672752,-0.0008786866195519685,-0.0005220565559138973,116357.89321345504,1.0,1,0.0
86,9.0,7.0,0.004927772248154944,-0.0008811478980734443,-0.00034091242847691597,98555.44496309888,1.0,1,0.0
