node,x_m,y_m,w_m,thx_rad,thy_rad,qsoil_Pa,area_m2,spring_active,column_load_N
83,6.0,7.0,0.013237930729609864,-0.0005169998982494134,-0.0011697156314094698,132379.30729609865,1.0,1,0.0
84,7.0,7.0,0.012507747828718798,-0.0008888645937124243,-0.0008888645937123211,125077.47828718799,1.0,1,0.0
85,8.0,7.0,0.01151099366831683,-0.0010426072552326368,-0.00063969754972467,115109.9366831683,1.0,1,0.0
86,9.0,7.0,0.010446480300108236,-0.0010598655940789942,-0.0004483689395541796,104464.80300108236,1.0,1,0.0
87,10.0,7.0,0.00939199656865718,-0.0010448978238180012,-0.00032314432897119884,93919.9656865718,0.5,1,0.0
88,0.0,8.0,0.009018422548816952,0.0008850214701457156,-0.00046746254706697395,90184.22548816951,0.5,1,0.0
89,1.0,8.0,0.00990539966549559,0.0008825768027440571,-0.0006101360638016103,99053.9966549559,1.0,1,0.0
90,2.0,8.0,0.010767700006083066,0.0008178447180305134,-0.0008178447180308797,107677.00006083066,1.0,1,0.0
91,3.0,8.0,0.011510993668318061,0.000639697549724221,-0.001042607255232488,115109.93668318061,1.0,1,0.0
92,4.0,8.0,0.012014153827110269,0.00035094701677601954,-0.001220950319129174,120141.53827110269,1.0,1,0.0
93,5.0,8.0,0.012193874368485855,-2.79836265582924e-16,-0.0012881843853225193,121938.74368485855,1.0,1,0.0
94,6.0,8.0,0.012014153827109702,-0.0003509470167765831,-0.0012209503191292046,120141.53827109702,1.0,1,0.0
95,7.0,8.0,0.011510993668316928,-0.0006396975497247808,-0.00104260725523254,115109.93668316929,1.0,1,0.0
96,8.0,8.0,0.0107677000060814,-0.0008178447180310418,-0.0008178447180309584,107677.00006081401,1.0,1,0.0
97,9.0,8.0,0.009905399665493374,-0.0008825768027446191,-0.0006101360638017243,99053.99665493374,1.0,1,0.0
98,10.0,8.0,0.009018422548814171,-0.000885021470146283,-0.0004674625470671418,90184.22548814172,0.5,1,0.0
99,0.0,9.0,0.008513380264605842,0.0007232049448578042,-0.0005799751727444508,85133.80264605842,0.5,1,0.0
100,1.0,9.0,0.00923486373056299,0.000701124530414725,-0.000701124530415135,92348.63730562989,1.0,1,0.0
101,2.0,9.0,0.009905399665495198,0.0006101360638012344,-0.0008825768027444593,99053.99665495197,1.0,1,0.0
102,3.0,9.0,0.010446480300109582,0.00044836893955368983,-0.0010598655940788984,104464.80300109582,1.0,1,0.0
103,4.0,9.0,0.010796999636216031,0.00023721344503336387,-0.0011925237992846426,107969.99636216031,1.0,1,0.0
104,5.0,9.0,0.01091806981919946,-2.964431716550712e-16,-0.0012423646416143267,109180.69819199461,1.0,1,0.0
105,6.0,9.0,0.010796999636215446,-0.00023721344503394007,-0.0011925237992846498,107969.99636215446,1.0,1,0.0
106,7.0,9.0,0.010446480300108422,-0.0004483689395542613,-0.0010598655940789279,104464.80300108422,1.0,1,0.0
107,8.0,9.0,0.009905399665493458,-0.0006101360638018211,-0.0008825768027445327,99053.99665493457,1.0,1,0.0
108,9.0,9.0,0.009234863730560663,-0.0007011245304153123,-0.0007011245304152309,92348.63730560664,1.0,1,0.0
109,10.0,9.0,0.008513380264602926,-0.0007232049448584044,-0.0005799751727445579,85133.80264602926,0.5,1,0.0
110,0.0,10.0,0.007914832881538766,0.0006241907972567231,-0.0006241907972571401,79148.32881538766,0.25,1,0.0
111,1.0,10.0,0.008513380264605424,0.0005799751727440516,-0.0007232049448582242,85133.80264605423,0.5,1,0.0
112,2.0,10.0,0.009018422548816156,0.0004674625470666124,-0.0008850214701461227,90184.22548816155,0.5,1,0.0
113,3.0,10.0,0.009391996568658611,0.00032314432897065625,-0.0010448978238179175,93919.96568658612,0.5,1,0.0
114,4.0,10.0,0.00961846181041772,0.00016400573665560845,-0.0011640689597982989,96184.6181041772,0.5,1,0.0
115,5.0,10.0,0.00969393356880425,-2.863098137999686e-16,-0.001207449444134935,96939.3356880425,0.5,1,0.0
116,6.0,10.0,0.009618461810417145,-0.00016400573665621164,-0.0011640689597982802,96184.61810417144,0.5,1,0.0
117,7.0,10.0,0.00939199656865742,-0.00032314432897127967,-0.0010448978238179571,93919.9656865742,0.5,1,0.0
118,8.0,10.0,0.009018422548814341,-0.0004674625470672201,-0.000885021470146201,90184.2254881434,0.5,1,0.0
119,9.0,10.0,0.008513380264603012,-0.000579975172744641,-0.0007232049448583066,85133.80264603012,0.5,1,0.0
120,10.0,10.0,0.007914832881535754,-0.0006241907972573198,-0.0006241907972572372,79148.32881535754,0.25,1,0.0
