elem,xc_m,yc_m,mx_Nm_per_m,my_Nm_per_m,mxy_Nm_per_m,qsoil_mean_Pa,w_mean_m,Mx_bottom_Nm_per_m,Mx_top_Nm_per_m,My_bottom_Nm_per_m,My_top_Nm_per_m,Asx_bottom_req_cm2_m,Asx_top_req_cm2_m,Asy_bottom_req_cm2_m,Asy_top_req_cm2_m,As_min_total_cm2_m,As_min_face_cm2_m,Asx_bottom_adot_cm2_m,Asx_top_adot_cm2_m,Asy_bottom_adot_cm2_m,Asy_top_adot_cm2_m,Asx_req_cm2_m,Asy_req_cm2_m,As_min_cm2_m,Asx_adot_cm2_m,Asy_adot_cm2_m,detalhe_x_inf,detalhe_x_sup,detalhe_y_inf,detalhe_y_sup
34,4.5,3.5,-302433.32520673564,-153452.934913221,66944.81512086757,221925.90307863947,0.0110962951539319,66944.81512086757,369378.1403276032,66944.81512086757,220397.75003408856,3.8882089590402877,21.453780877613315,3.8882089590402877,12.80087942117181,7.5,3.75,3.8882089590402877,21.453780877613315,3.8882089590402877,12.80087942117181,21.453780877613315,12.80087942117181,7.5,21.453780877613315,12.80087942117181,phi 12.5 c/ 20.0 cm,phi 16.0 c/ 7.5 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 7.5 cm
35,5.5,3.5,-302433.32520673476,-153452.9349132196,-66944.81512087054,221925.9030786384,0.0110962951539319,66944.81512087054,369378.1403276053,66944.81512087054,220397.75003409013,3.88820895904046,21.453780877613436,3.88820895904046,12.800879421171901,7.5,3.75,3.88820895904046,21.453780877613436,3.88820895904046,12.800879421171901,21.453780877613436,12.800879421171901,7.5,21.453780877613436,12.800879421171901,phi 12.5 c/ 20.0 cm,phi 16.0 c/ 7.5 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 7.5 cm
36,6.5,3.5,-184088.9133592608,-184088.9133592624,-105778.05078703145,206525.99350189755,0.0103262996750948,105778.05078703145,289866.96414629224,105778.05078703145,289866.9641462938,6.143674666923542,16.835707513547273,6.143674666923542,16.835707513547366,7.5,3.75,6.143674666923542,16.835707513547273,6.143674666923542,16.835707513547366,16.835707513547273,16.835707513547366,7.5,16.835707513547273,16.835707513547366,phi 12.5 c/ 17.5 cm,phi 16.0 c/ 10.0 cm,phi 12.5 c/ 17.5 cm,phi 16.0 c/ 10.0 cm
37,7.5,3.5,-58700.278092562905,-140025.58640745457,-81902.70963368648,182035.17240126093,0.009101758620063,81902.70963368648,140602.98772624938,81902.70963368648,221928.29604114103,4.756975559532295,8.166335145716504,4.756975559532295,12.889774770066271,7.5,3.75,4.756975559532295,8.166335145716504,4.756975559532295,12.889774770066271,8.166335145716504,12.889774770066271,7.5,8.166335145716504,12.889774770066271,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 15.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 7.5 cm
38,8.5,3.5,-9581.513269694611,-94591.62929359924,-56760.461492300754,155169.12239325116,0.0077584561196625,56760.461492300754,66341.97476199537,56760.461492300754,151352.09078589999,3.2966934705124173,3.8531955038532657,3.2966934705124173,8.790651737564897,7.5,3.75,3.75,3.8531955038532657,3.75,8.790651737564897,3.8531955038532657,8.790651737564897,7.5,3.8531955038532657,8.790651737564897,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 12.5 cm
39,9.5,3.5,-2707.5326466232127,-64643.33071061927,-41279.67126959143,128642.3575733434,0.0064321178786671,41279.67126959143,43987.20391621465,41279.67126959143,105923.00198021071,2.3975566646479867,2.5548123486690324,2.3975566646479867,6.152093549355672,7.5,3.75,3.75,3.75,3.75,6.152093549355672,2.5548123486690324,6.152093549355672,7.5,3.75,6.152093549355672,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 17.5 cm
40,0.5,4.5,1085.6428434936824,-67238.88368163494,15258.694920278833,132520.34553590737,0.0066260172767953,16344.337763772515,15258.694920278833,15258.694920278833,82497.57860191377,0.9492923448655753,0.8862373312283159,0.8862373312283159,4.791526029909133,7.5,3.75,3.75,3.75,3.75,4.791526029909133,0.9492923448655753,4.791526029909133,7.5,3.75,4.791526029909133,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
41,1.5,4.5,2160.154496833675,-108252.07215215018,21275.495208192675,161565.12998276338,0.0080782564991381,23435.64970502635,21275.495208192675,21275.495208192675,129527.56736034286,1.3611614727666816,1.2356979540111908,1.2356979540111908,7.523065781030014,7.5,3.75,3.75,3.75,3.75,7.523065781030014,1.3611614727666816,7.523065781030014,7.5,3.75,7.523065781030014,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 15.0 cm
42,2.5,4.5,-35938.92470054881,-178361.63151673632,30681.49865508662,191900.9296164539,0.0095950464808226,30681.49865508662,66620.42335563543,30681.49865508662,209043.13017182294,1.782006235017657,3.8693680231808454,1.782006235017657,12.141393924121028,7.5,3.75,3.75,3.8693680231808454,3.75,12.141393924121028,3.8693680231808454,12.141393924121028,7.5,3.8693680231808454,12.141393924121028,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 10.0 cm
43,3.5,4.5,-153452.9349132145,-302433.3252067399,66944.81512086689,221925.90307864128,0.011096295153932,66944.81512086689,220397.7500340814,66944.81512086689,369378.14032760676,3.888208959040248,12.800879421171393,3.888208959040248,21.45378087761352,7.5,3.75,3.888208959040248,12.800879421171393,3.888208959040248,21.45378087761352,12.800879421171393,21.45378087761352,7.5,12.800879421171393,21.45378087761352,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 7.5 cm,phi 12.5 c/ 20.0 cm,phi 16.0 c/ 7.5 cm
