elem,xc_m,yc_m,sigma_x_bottom_MPa,sigma_x_top_MPa,sigma_y_bottom_MPa,sigma_y_top_MPa,rho_x_bottom,rho_x_top,rho_y_bottom,rho_y_top,spacing_x_bottom_mm,spacing_x_top_mm,spacing_y_bottom_mm,spacing_y_top_mm,wk_est_x_bottom_mm,wk_est_x_top_mm,wk_est_y_bottom_mm,wk_est_y_top_mm,wk_est_x_mm,wk_est_y_mm,wk_limit_mm,wk_x_ok,wk_y_ok
30,0.5,3.5,198.55541736213297,211.57866241565802,198.55541736213297,310.5590062111791,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,327.24923474893683,327.24923474893683,327.24923474893683,199.47431235617051,0.08641998082399367,0.09812833239705626,0.08641998082399367,0.21141653008995778,0.09812833239705626,0.21141653008995778,0.3,True,True
31,1.5,3.5,273.01809279603015,310.55900621118735,273.01809279603015,310.5590062111807,0.0034906585039886596,0.0034906585039886587,0.0034906585039886596,0.00468834759336774,327.24923474893683,318.48491183004353,327.24923474893683,139.60109750048062,0.16339303546205386,0.21141653008996905,0.16339303546205386,0.21141653008995998,0.21141653008996905,0.21141653008995998,0.3,True,True
32,2.5,3.5,310.5590062111805,310.55900621117905,310.5590062111805,310.55900621117945,0.0034906585039886596,0.004355378744381836,0.0034906585039886596,0.006874546544035145,257.97581151105976,150.27360601925503,257.97581151105976,95.20605690942102,0.21141653008995967,0.21141653008995778,0.21141653008995967,0.21141653008995828,0.21141653008995967,0.21141653008995967,0.3,True,True
33,3.5,3.5,310.55900621117854,310.5590062111801,310.55900621117854,310.55900621118013,0.0034906585039886587,0.00897904400722491,0.0034906585039886587,0.00897904400722514,199.74765866355384,72.89177656009227,199.74765866355384,72.8917765600904,0.21141653008995706,0.21141653008995911,0.21141653008995706,0.21141653008995923,0.21141653008995911,0.21141653008995923,0.3,True,True
34,4.5,3.5,310.559006211179,310.5590062111793,310.559006211179,310.55900621117985,0.0034906585039886596,0.011442016468060437,0.0034906585039886596,0.006827135691291633,315.6169442630507,57.20132210304529,315.6169442630507,95.86721270718562,0.21141653008995767,0.21141653008995806,0.21141653008995767,0.21141653008995884,0.21141653008995806,0.21141653008995884,0.3,True,True
35,5.5,3.5,310.559006211179,310.5590062111804,310.559006211179,310.55900621117974,0.0034906585039886596,0.011442016468060501,0.0034906585039886596,0.00682713569129168,315.61694426303677,57.20132210304497,315.61694426303677,95.86721270718495,0.21141653008995767,0.2114165300899596,0.21141653008995767,0.2114165300899587,0.2114165300899596,0.2114165300899587,0.3,True,True
36,6.5,3.5,310.55900621118053,310.5590062111793,310.55900621118053,310.5590062111798,0.0034906585039886587,0.008979044007225212,0.0034906585039886587,0.008979044007225262,199.7476586635451,72.89177656008981,199.7476586635451,72.89177656008941,0.21141653008995978,0.21141653008995806,0.21141653008995978,0.21141653008995875,0.21141653008995978,0.21141653008995978,0.3,True,True
37,7.5,3.5,310.5590062111805,310.5590062111796,310.5590062111805,310.5590062111797,0.0034906585039886587,0.004355378744382136,0.0034906585039886587,0.006874546544035345,257.97581151103697,150.27360601924468,257.97581151103697,95.20605690941825,0.21141653008995967,0.2114165300899585,0.21141653008995967,0.2114165300899586,0.21141653008995967,0.21141653008995967,0.3,True,True
38,8.5,3.5,273.0180927960602,310.5590062111847,273.0180927960602,310.55900621118127,0.0034906585039886596,0.0034906585039886587,0.0034906585039886596,0.004688347593367945,327.24923474893683,318.4849118300138,327.24923474893683,139.60109750047454,0.1633930354620898,0.2114165300899654,0.1633930354620898,0.21141653008996075,0.2114165300899654,0.21141653008996075,0.3,True,True
39,9.5,3.5,198.555417362154,211.57866241565634,198.555417362154,310.5590062111817,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,327.24923474893683,327.24923474893683,327.24923474893683,199.4743123561637,0.08641998082401196,0.0981283323970547,0.08641998082401196,0.2114165300899614,0.0981283323970547,0.2114165300899614,0.3,True,True
40,0.5,4.5,78.61634326008907,73.394395960935,73.394395960935,310.5590062111794,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,327.24923474893683,327.24923474893683,327.24923474893683,256.1156138249729,0.013548036642967406,0.01180800382453305,0.01180800382453305,0.21141653008995823,0.013548036642967406,0.21141653008995823,0.3,True,True
41,1.5,4.5,112.7255878067622,102.33523428664401,102.33523428664401,310.55900621118394,0.0034906585039886596,0.0034906585039886596,0.0034906585039886596,0.004012301749882674,327.24923474893683,327.24923474893683,327.24923474893683,163.12294296335318,0.027854521430319506,0.02295625606140073,0.02295625606140073,0.21141653008996442,0.027854521430319506,0.21141653008996442,0.3,True,True
